Markers_ ,X Position_µm,Y Position_µm,MODULUS_GPa,HARDNESS_GPa,H/E_ratio,H^3/E^2_ratio
0,0.0,0.0,224.6,5.38,0.023953695458593053,0.0030869338505418557
1,0.6172839506172839,0.0,222.075,5.0925,0.022931442080378252,0.002677896400248144
2,1.2345679012345678,0.0,219.55,4.805,0.021885675244818947,0.002301512262328676
3,1.8518518518518519,0.0,217.025,4.5175,0.020815574242598778,0.001957379132014498
4,2.4691358024691357,0.0,214.5,4.23,0.01972027972027972,0.0016450022984009004
5,3.0864197530864197,0.0,237.2,5.3475,0.02254426644182125,0.002717834519415579
6,3.7037037037037037,0.0,259.9,6.465,0.024874951904578686,0.004000304296529239
7,4.320987654320987,0.0,282.6,7.5825,0.0268312101910828,0.005458746694211731
8,4.938271604938271,0.0,305.3,8.7,0.028496560759908283,0.007064869583745356
9,5.555555555555555,0.0,287.75,7.765,0.026985230234578626,0.0056544935835646255
10,6.172839506172839,0.0,270.2,6.83,0.02527757216876388,0.004364067121922463
11,6.790123456790123,0.0,252.64999999999998,5.895,0.02333267365921235,0.003209318526214644
12,7.407407407407407,0.0,235.1,4.96,0.021097405359421523,0.00220769854398275
13,8.024691358024691,0.0,228.325,5.26,0.023037337129092304,0.002791581424517132
14,8.641975308641975,0.0,221.55,5.5600000000000005,0.02509591514330851,0.0035017155602535864
15,9.25925925925926,0.0,214.775,5.86,0.027284367361191945,0.004362399075480791
16,9.876543209876543,0.0,208.0,6.16,0.029615384615384616,0.005402757396449704
17,10.493827160493828,0.0,168.25,5.16,0.030668647845468053,0.004853320357053755
18,11.11111111111111,0.0,128.5,4.16,0.03237354085603113,0.004359871973837606
19,11.728395061728396,0.0,88.75,3.16,0.0356056338028169,0.004006125260860941
20,12.345679012345679,0.0,49.0,2.16,0.044081632653061226,0.004197291128696377
21,12.962962962962964,0.0,95.425,3.0,0.03143830233167409,0.002965100560493234
22,13.580246913580247,0.0,141.85,3.84,0.027070849488896723,0.0028140706254739197
23,14.197530864197532,0.0,188.27499999999998,4.68,0.024857256672420662,0.0028916934194238553
24,14.814814814814815,0.0,234.7,5.52,0.02351938645078824,0.003053451695398798
25,15.432098765432098,0.0,224.74999999999997,5.432499999999999,0.024171301446051167,0.003173947977359592
26,16.049382716049383,0.0,214.8,5.345,0.02488361266294227,0.0033095928876066766
27,16.666666666666668,0.0,204.85000000000002,5.2575,0.025665120820112276,0.003463106978432876
28,17.28395061728395,0.0,194.9,5.17,0.026526423807080552,0.0036378764971630342
29,17.901234567901234,0.0,199.675,5.045,0.02526605734318267,0.0032205950827600797
30,18.51851851851852,0.0,204.45,4.92,0.024064563462949377,0.002849187816138605
31,19.135802469135804,0.0,209.225,4.795,0.022917911339467082,0.002518481015484816
32,19.753086419753085,0.0,214.0,4.67,0.021822429906542054,0.002223940147611145
33,20.37037037037037,0.0,215.175,4.7375,0.022016962937144183,0.0022964872874218127
34,20.987654320987655,0.0,216.35,4.805,0.022209382944303212,0.002370098399134024
35,21.604938271604937,0.0,217.52499999999998,4.8725000000000005,0.02239972416963568,0.0024447653899121445
36,22.22222222222222,0.0,218.7,4.94,0.02258802011888432,0.0025204801452821464
37,22.839506172839506,0.0,221.7,5.0825,0.02292512404149752,0.0026711653698564767
38,23.45679012345679,0.0,224.7,5.225,0.023253226524254562,0.0028252230412938455
39,24.074074074074073,0.0,227.7,5.367500000000001,0.023572683355292053,0.002982566242553373
40,24.691358024691358,0.0,230.7,5.51,0.02388383181621153,0.0031431101964601803
41,25.308641975308642,0.0,231.97499999999997,5.5825000000000005,0.024065093221252297,0.0032329860333307715
42,25.925925925925927,0.0,233.25,5.654999999999999,0.024244372990353695,0.0033239503106874397
43,26.54320987654321,0.0,234.52500000000003,5.727499999999999,0.024421703443129723,0.0034159932536400573
44,27.160493827160494,0.0,235.8,5.8,0.024597116200169633,0.003509105127114955
45,27.77777777777778,0.0,209.62500000000003,5.602499999999999,0.02672629695885509,0.00400183745251711
46,28.395061728395063,0.0,183.45,5.404999999999999,0.029463068956118832,0.004691931496651836
47,29.012345679012345,0.0,157.27499999999998,5.2075,0.03311079319663011,0.00570911049046786
48,29.62962962962963,0.0,131.1,5.01,0.03821510297482838,0.00731657441783745
49,30.246913580246915,0.0,153.89999999999998,4.89,0.0317738791423002,0.004936843245215053
50,30.864197530864196,0.0,176.7,4.77,0.02699490662139219,0.003476018171283952
51,31.48148148148148,0.0,199.50000000000003,4.65,0.02330827067669173,0.002526230991011363
52,32.098765432098766,0.0,222.3,4.53,0.0203778677462888,0.001881116447300125
53,32.71604938271605,0.0,227.175,4.72,0.02077693408165511,0.0020375342720138447
54,33.333333333333336,0.0,232.05,4.91,0.021159232923938807,0.002198271507233825
55,33.95061728395062,0.0,236.925,5.1000000000000005,0.021525799303577082,0.0023631361818551863
56,34.5679012345679,0.0,241.8,5.29,0.021877584780810585,0.0025319459068018258
57,35.18518518518518,0.0,241.425,5.7075000000000005,0.02364088226157192,0.003189872175257174
58,35.80246913580247,0.0,241.05,6.125,0.02540966604438913,0.003954613161985214
59,36.41975308641975,0.0,240.675,6.5424999999999995,0.02718396177417679,0.004834696685863328
60,37.03703703703704,0.0,240.3,6.96,0.028963795255930087,0.005838753991966969
61,37.65432098765432,0.0,229.02500000000003,6.345,0.027704399083069528,0.0048700015076750276
62,38.27160493827161,0.0,217.75,5.73,0.026314580941446616,0.0039677795848102075
63,38.888888888888886,0.0,206.47499999999997,5.115,0.024772974936432986,0.003139076969033815
64,39.50617283950617,0.0,195.2,4.5,0.02305327868852459,0.0023915414623085197
65,40.123456790123456,0.0,202.325,4.555,0.022513283084146792,0.002308692253858667
66,40.74074074074074,0.0,209.45,4.609999999999999,0.022010026259250415,0.0022332741898506356
67,41.358024691358025,0.0,216.575,4.665,0.021539882257878333,0.0021644038516424164
68,41.97530864197531,0.0,223.7,4.72,0.021099687080911936,0.0021013288719865376
