0	0	0	0	0	0	0	0	0	0	37	221	255	97	0	0	0	0	0	0	0	0	0	153	254	210	204	227	255	214	23	0	0	119	56	0	0	0	0	0	0	0	0	0	0	0	14	136	255	255	255	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	236	99	134	189	12	0	0	0	0
0	0	0	0	0	0	0	0	57	20	0	55	165	63	66	8	0	0	0	0	0	0	0	99	160	17	0	115	255	67	0	0	0	0	0	0	0	0	0	0	11	65	0	0	0	0	69	255	255	255	245	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	104	0	0	0	0	33	90	32	0
0	0	0	0	0	0	0	62	207	56	0	0	0	78	220	138	85	0	0	0	0	0	0	0	0	0	39	184	255	67	0	0	0	0	0	0	0	0	0	0	16	92	0	0	0	0	69	255	255	255	227	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	173	255	172	25
162	105	0	0	0	0	56	208	255	56	0	0	0	158	255	255	225	86	0	0	0	0	0	98	41	25	191	255	159	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	93	93	93	82	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	255	255	150	18
252	155	0	0	0	35	205	240	240	52	0	0	0	33	61	226	255	230	79	0	0	0	0	145	65	189	255	164	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	58	0	0	0	0	138	202	154	0	0	0	0	0	0	0	0	0	0	0	0	122	187	198	240	146	19	0
170	12	0	0	0	4	19	19	19	4	0	0	0	0	1	49	223	232	81	0	0	0	0	40	22	186	207	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	174	250	159	0	0	0	0	0	0	0	0	0	0	0	0	12	19	19	19	9	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	89	0	0	0	0	40	188	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	151	6	0	0	59	80	4	0	0	0	0	0	0	0	0	0	0	0	0	0	71
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	131	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	124	94	48	124	212	232	11	0	0	0	0	0	0	0	0	0	0	0	0	80	229
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	225	240	78	99	255	255	114	4	0	0	0	0	0	0	0	0	0	0	0	0	165	255
160	0	0	0	0	0	0	0	8	159	199	199	110	13	3	0	0	0	0	0	0	0	0	0	149	171	9	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	56	50	2	94	242	117	9	0	0	97	63	0	0	0	0	0	1	12	80	199	235	245
168	0	0	0	0	0	0	0	147	250	255	255	245	234	54	0	0	0	0	2	41	46	46	18	158	247	162	0	0	0	0	0	0	0	171	209	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	21	7	0	0	0	11	7	0	0	0	0	0	51	223	242	255	226	58
0	0	0	0	0	0	30	86	192	255	255	255	255	202	39	0	0	0	52	92	239	228	169	67	4	152	117	0	0	0	0	0	0	50	209	255	206	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	223	255	255	255	90	0
0	0	0	0	0	23	126	192	255	255	255	255	255	97	0	0	0	0	156	255	236	91	56	122	119	13	0	0	0	0	0	0	0	78	222	255	219	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	122	122	122	77	0	87	232	255	255	255	90	0
127	0	0	0	0	18	64	47	196	255	255	255	180	37	0	0	0	0	59	97	82	50	203	255	252	144	0	0	0	0	0	0	0	0	71	97	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	255	255	255	219	158	55	90	246	255	175	34	0
204	0	0	0	0	0	0	5	164	254	245	182	30	0	0	2	7	0	0	150	165	19	58	177	242	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	193	197	197	68	11	8	0	0	0	9	8	0	0	0	0	0	0	127	244	253	255	255	255	95	20	230	177	29	0	0
204	0	0	0	0	0	0	113	219	202	38	15	0	0	0	39	156	0	0	161	178	0	0	127	69	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	254	255	255	239	232	185	26	0	29	202	187	26	0	0	0	0	0	12	23	178	221	255	255	212	37	21	14	0	0	0
137	0	0	0	0	0	0	83	64	4	62	0	0	0	0	29	115	0	0	3	75	83	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	190	255	255	255	255	255	153	0	117	242	255	188	39	0	0	0	0	0	0	0	37	172	172	59	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	7	100	0	0	0	0	0	0	0	0	9	231	255	138	0	0	0	0	0	0	2	106	120	67	0	0	0	0	0	0	0	0	0	0	0	0	14	119	70	0	0	0	35	184	255	255	255	255	201	55	0	125	251	255	183	120	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	206	99	54	0	0	0	0	0	0	4	227	208	55	0	0	0	0	0	0	0	0	0	0	0	0	147	254	149	0	0	0	0	40	99	207	255	255	255	117	0	10	133	255	255	150	17	0	0	0	0	0	0	0	0	0	0	0	0	0	101	235
